date,TICKER,CUSIP,COMNAM,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID
1997-11-19,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.027322,-0.8957614113161345,0.011235955056179775,-3.292987546741151e-08,0.006779,0.9036713922210106,22.25,41265.0,918146.25,0.125,22.5,22.25
1997-11-20,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.0,7.504424778761061,0.011235955056179775,0.0,0.015234,7.685205379861868,22.25,41265.0,918146.25,0.125,22.5,22.25
1997-11-21,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.005618,-0.4943083278150916,0.005649717514124294,-1.5833441663328693e-09,0.004286,3.8863443596268024,22.125,41265.0,912988.125,0.0625,22.125,22.0
1997-11-24,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.0,-0.8979547296875974,0.011299435028248588,0.0,-0.017049,0.3965830607051981,22.125,41265.0,912988.125,0.125,22.25,22.0
1997-11-25,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.002825,4.01387106630003,0.0056657223796034,-1.5605387532179206e-09,0.004384,1.9884163334545013,22.0625,41265.0,910409.0625,0.0625,22.125,22.0
1997-11-26,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.04745,0.41232389216594356,0.005947953975207976,-1.9483650279494557e-08,0.000862,2.808287895310796,21.01563,41265.0,867209.97195,0.0625,21.125,21.0
1997-11-28,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.000743,-0.5409202305754031,0.005952380952380952,-6.650554958825635e-10,0.003951,1.289228159457167,21.0,41265.0,866565.0,0.0625,21.125,21.0
1997-12-01,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.002976,1.2371804511278195,0.017804154302670624,1.1871630219462103e-09,0.020274,2.8842360353810736,21.0625,41265.0,869144.0625,0.1875,21.375,21.0
1997-12-02,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.014837,1.6917693122048765,0.017543859649122806,2.166653624323078e-09,-0.00317,7.7636980491942325,21.375,41265.0,882039.375,0.1875,21.75,21.375
1997-12-03,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.02924,-0.2705536428306109,0.017045454545454544,5.687361608830893e-09,0.005238,5.663201260147825,22.0,41265.0,907830.0,0.1875,22.0,21.625
1997-12-04,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.008523,-0.2698808688359037,0.016901408450704224,2.2513682872039855e-09,-0.003757,4.134811583666545,22.1875,41265.0,915567.1875,0.1875,22.375,22.0
1997-12-05,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.025352,-0.5847570374451276,0.005494505494505495,1.5728632694052596e-08,0.010986,1.7169514116079,22.75,41265.0,938778.75,0.0625,22.75,22.625
1997-12-08,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.005495,-0.19593507410021171,0.01092896174863388,4.216728325287401e-09,-0.001443,1.3805404095480431,22.875,41265.0,943936.875,0.125,23.0,22.75
1997-12-09,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.021858,-0.4369295042831063,0.0111731843575419,-3.045465145582827e-08,-0.006708,0.7773415727614201,22.375,41265.0,923304.375,0.125,22.5,22.25
1997-12-10,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.036425,1.1043115004520372,0.029069767441860465,-2.5099052540913005e-08,-0.006139,1.6357688113413305,21.5,41265.0,887197.5,0.3125,21.75,21.125
1997-12-11,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.011628,0.48853333333333326,0.011764705882352941,-5.4460766750268714e-09,-0.015313,2.434896401308615,21.25,41265.0,876881.25,0.125,21.375,21.125
1997-12-12,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.029412,0.02739957800867865,0.04242424242424243,-1.3814299892824339e-08,-0.001623,2.5016115351993213,20.625,41265.0,851090.625,0.4375,21.5,20.625
1997-12-15,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.012121,-0.299131058132889,0.005988023952095809,8.02552462455876e-09,0.010489,1.7533018296377074,20.875,41265.0,861406.875,0.0625,21.0,20.875
1997-12-16,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.0,-0.3372633033863165,0.011976047904191617,0.0,0.004827,1.1619774627408215,20.875,41265.0,861406.875,0.125,21.0,20.75
1997-12-17,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.035928,2.0510542451354565,0.012422360248447204,-1.2203029741446015e-08,-0.002583,3.5452562704471102,20.125,41265.0,830458.125,0.125,20.375,20.125
1997-12-18,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.006211,-0.5324173758501658,0.00625,-4.539872816314597e-09,-0.010605,1.6577002302193142,20.0,41265.0,825300.0,0.0625,20.0,19.875
1997-12-19,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.0125,2.3692712521014547,0.006329113924050633,-2.7461173333553026e-09,-0.008919,5.585241730279898,19.75,41265.0,814983.75,0.0625,19.875,19.75
1997-12-22,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.025316,0.002668402212821386,0.024691358024691357,5.409895882583292e-09,0.007309,5.600145401672119,20.25,41265.0,835616.25,0.25,20.75,20.25
1997-12-23,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.012346,1.5233458825565798,0.01875,-1.058615722321306e-09,-0.015288,14.131103841027505,20.0,41265.0,825300.0,0.1875,20.125,19.75
