date,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,DJI_Return,day_of_week,day_of_month,month,is_month_start,is_month_end,year,week,RET_ema_12,RET_ema_26,RET_cumulative_sum,RET_cumulative_product,RET_skew_10,RET_kurtosis_10,RET_entropy_10,RSI,OBV
2019-09-27,-0.004866,0.32858227,4.57e-05,-8.77e-13,-0.005316,5.706625757,-0.002635411,4,27,9,0,0,2019,39,0.00016658411754907112,0.0013138045265585151,7.995775000000002,-0.0,0.1091996720718665,-0.5567623091832498,2.3025850929940455,47.764292323735766,13.75419851762349
2019-09-30,0.023535,0.037870341,4.46e-05,3.99e-12,0.005048,5.922737617,0.003601013,0,30,9,0,1,2019,40,0.003761725022541522,0.002959819006072699,8.019310000000003,-0.0,0.5712743353567121,-0.28460184997379806,2.3025850929940455,52.60363914210068,13.75527407317823
2019-10-01,0.002768,0.374980872,8.9e-05,3.41e-13,-0.012258,8.143650934,-0.012772344,1,1,10,1,0,2019,40,0.0036088442498428265,0.0029456101908080547,8.022078000000002,-0.0,0.6004557576906989,-0.24169508435522605,2.3025850929940455,43.57505544660526,13.747486845409405
2019-10-02,-0.025068,-0.011651672,4.57e-05,-3.2e-12,-0.017903,8.048763784,-0.018606074,2,2,10,0,0,2019,40,-0.0008029779424406857,0.0008705279544519026,7.997010000000002,0.0,0.2895170353026012,0.26628883453209085,2.3025850929940455,44.80846705360192,13.747811181351198
2019-10-03,0.008495,-0.151641031,4.53e-05,1.27e-12,0.007972,6.828240949,0.004694264,3,3,10,0,0,2019,40,0.0006274802025501892,0.0014353036615295395,8.005505000000003,0.0,-0.0964027884284587,0.056076824005646335,2.3025850929940455,55.91510812699892,13.742721653427745
2019-10-04,0.028032,0.144984889,4.41e-05,3.55e-12,0.014217,7.818232702,0.014223926,4,4,10,0,0,2019,40,0.004843560171388622,0.003405429316231055,8.033537000000003,0.0,-0.20864469422348242,0.19586159402270045,2.3025850929940455,54.931511001979096,13.745554223204138
2019-10-07,0.00022,-0.111051526,0.000308245,3.14e-14,-0.004478,6.950006032,-0.003601346,0,7,10,0,0,2019,41,0.004132243221944219,0.0031694715891028287,8.033757000000003,0.0,-0.1054064829163054,0.10962964749861216,2.3025850929940455,49.33529361430694,13.74864278824525
2019-10-08,-0.011715,-0.051378576,4.46e-05,-1.78e-12,-0.015561,6.592924616,-0.011858155,1,8,10,0,0,2019,41,0.0016942058031835696,0.0020669181380581748,8.022042000000003,-0.0,-0.03568764622691834,-0.3462761860714504,2.3025850929940455,45.99430307633879,13.749255991549811
2019-10-09,0.01172,-0.350548715,0.000176144,2.71e-12,0.009105,4.281783367,0.006954993,2,9,10,0,0,2019,41,0.0032366356796168665,0.0027819612389427544,8.033762000000003,-0.0,0.007710543625245823,-0.13370854491733145,2.3025850929940455,53.68549684100271,13.741040882413786
2019-10-10,0.013478,0.52207325,4.35e-05,2.02e-12,0.006416,6.517187923,0.005718519,3,10,10,0,0,2019,41,0.0048122301904450415,0.0035742604064284765,8.047240000000002,-0.0,-0.37256127064348327,-0.049710224820150826,2.3025850929940455,55.31123344020326,13.741958687187287
2019-10-11,0.026598,0.44971887,8.46e-05,2.68e-12,0.010939,9.448090311,0.012073967,4,11,10,0,0,2019,41,0.008163887084222728,0.005279722598544885,8.073838000000002,-0.0,-0.691749097022759,0.024663531317163034,2.3025850929940455,54.26599239314223,13.747858998761687
2019-10-14,-0.001439,-0.418329091,0.000211981,-2.5e-13,-0.001387,5.495679275,-0.001090014,0,14,10,0,0,2019,42,0.006686519840496154,0.004782039443097116,8.072399000000003,0.0,-0.3620887383409917,0.0890792364556278,2.3025850929940455,50.59815430793764,13.759587691486054
2019-10-15,-0.002332,-0.056854857,0.00029751,-4.3e-13,0.009956,5.183223218,0.008863935,1,15,10,0,0,2019,42,0.005299055249650591,0.004255073558423256,8.070067000000003,-0.0,-0.24808548885300222,-0.13876293821484356,2.3025850929940455,46.56462505912366,13.759638462873355
2019-10-16,-0.004037,-0.163172109,4.27e-05,-8.94e-13,-0.002,4.337465757,-0.000844421,2,16,10,0,0,2019,42,0.0038627390573966543,0.003640845887428941,8.066030000000003,0.0,0.48551062256440264,-0.7435897693793783,2.3025850929940455,50.23442956865796,13.7599166713192
2019-10-17,0.003883,-0.104428388,4.25e-05,9.56e-13,0.002763,3.884511199,0.000885135,3,17,10,0,0,2019,42,0.003865856125489477,0.003658783229100871,8.069913000000003,0.0,0.6124120324446624,-0.6434252519943671,2.3025850929940455,51.773069767630396,13.75908959848624
2019-10-18,0.004803,0.412061148,4.23e-05,8.34e-13,-0.003919,5.485131542,-0.009460622,4,18,10,0,0,2019,42,0.004010032106183403,0.003743540026945251,8.074716000000004,0.0,0.8314090189209697,0.9951665842067803,2.3025850929940455,45.72793037703319,13.759468694742399
2019-10-21,0.017343,-0.082420639,8.32e-05,3.22e-12,0.006872,5.033043494,0.002145722,0,21,10,0,0,2019,43,0.006061257936001342,0.004750907432356714,8.092059000000004,0.0,0.3520243471349187,-0.3247691184509322,2.3025850929940455,53.45361142310117,13.75843513992934
2019-10-22,-0.002287,0.014040019,4.17e-05,-4.2e-13,-0.003569,5.103707521,-0.001473891,1,22,10,0,0,2019,43,0.004776910561231904,0.004229580955885846,8.089772000000004,-0.0,0.7923917832566129,-0.2711433884412478,2.3025850929940455,55.61647888365671,13.75815953435637
2019-10-23,0.013419,-0.121242971,0.000164446,2.77e-12,0.002847,4.48491886,0.001711566,2,23,10,0,0,2019,43,0.006106462782580842,0.004910278662857265,8.103191000000004,-0.0,0.7284220158885993,-0.4873124695918471,2.3025850929940455,51.331184981724604,13.756255292253844
2019-10-24,0.001645,-0.097736149,0.000123163,3.76e-13,0.00192,4.046580161,-0.001059103,3,24,10,0,0,2019,43,0.005420083892953021,0.004668406169312283,8.104836000000004,-0.0,1.1451294632957183,0.41196604127906106,2.3025850929940455,42.55382791997066,13.757406037672169
2019-10-25,0.012316,0.021093849,4.06e-05,2.72e-12,0.004073,4.131938113,0.005690291,4,25,10,0,0,2019,43,0.006480994063267941,0.005234894601215076,8.117152000000004,-0.0,0.6674759381042653,-1.037246576287906,2.3025850929940455,53.778960785783916,13.757631130134849
2019-10-28,0.010017,0.329484529,4.02e-05,1.65e-12,0.005581,5.493347797,0.004920983,0,28,10,0,0,2019,44,0.007024994976611335,0.0055891246307547,8.127169000000004,-0.0,0.24069095804489804,-1.3648147187583706,2.3025850929940455,57.22434976862934,13.756873645202678
2019-10-29,-0.023128,0.462246645,8.22e-05,-2.66e-12,-0.000832,8.032629384,-0.000710936,1,29,10,0,0,2019,44,0.002386072672517283,0.0034619302136617595,8.104041000000004,0.0,-1.2880658478022435,2.3138302761842473,2.3025850929940455,39.11802545622604,13.741552480154153
2019-10-30,-0.000123,-0.129226246,8.22e-05,-1.63e-14,0.003253,6.994602843,0.004256457,2,30,10,0,0,2019,44,0.0020000614921300086,0.003196379827464592,8.103918000000004,-0.0,-1.4564405328713175,3.0912138891009096,2.3025850929940455,46.25037906983157,13.738579630364923
2019-10-31,0.02261,0.119187973,8.04e-05,2.61e-12,-0.003023,7.828275379,-0.005166462,3,31,10,0,1,2019,44,0.005170821262571546,0.0046344257661709186,8.126528000000004,-0.0,-1.1296174518398947,2.030844406556167,2.3025850929940455,48.95590067965944,13.741289130555131
2019-11-01,0.028381,0.085991238,0.00011727,2.94e-12,0.009662,8.501438469,0.011133859,4,1,11,1,0,2019,44,0.008741617991406693,0.006393431264973073,8.154909000000004,-0.0,-0.8499868606431386,1.171497232508639,2.3025850929940455,58.83754563990706,13.74178538598963
2019-11-04,0.006567,-0.316562885,7.76e-05,9.88e-13,0.003704,5.810198581,0.004196018,0,4,11,0,0,2019,45,0.008407061377344125,0.0064062882083084005,8.161476000000004,-0.0,-0.6732298702943748,1.3367961092427894,2.3025850929940455,52.34637431248782,13.74869088876302
2019-11-05,-0.001437,-0.226404863,0.000155563,-2.8e-13,-0.001186,4.494741367,0.001111403,1,5,11,0,0,2019,45,0.00689259039621426,0.005825303896581853,8.160039000000005,0.0,-0.6944019900345292,1.4434420840538493,2.3025850929940455,50.663495498438245,13.750503033286472
2019-11-06,0.000428,-0.050461845,3.88e-05,8.77e-14,0.000703,4.267928427,-2.56e-06,2,6,11,0,0,2019,45,0.005898038027565912,0.0054255036079461595,8.160467000000004,0.0,-0.3856486325052583,1.215480828454935,2.3025850929940455,49.09020049821727,13.750408921945548
2019-11-07,0.011507,0.251258138,0.000192692,1.87e-12,0.00273,5.340280177,0.006628711,3,7,11,0,0,2019,45,0.006760955254094233,0.00587598482217237,8.171974000000004,0.0,-0.6307016658883169,1.3951828102857107,2.3025850929940455,51.67569837429263,13.75319261085645
2019-11-08,0.002737,-0.261981357,3.85e-05,6.01e-13,0.002561,3.941226328,0.000232683,4,8,11,0,0,2019,45,0.006141885215002813,0.005643467427937379,8.174711000000004,0.0,-0.40135948402990757,1.3248877002597592,2.3025850929940455,46.27902948039906,13.75549018735734
2019-11-11,0.007919,0.207702094,3.82e-05,1.43e-12,-0.001962,4.759827289,0.000370287,0,11,11,0,0,2019,46,0.006415287489617765,0.005812025396238314,8.182630000000003,0.0,-0.35360862174715846,1.3758671697034484,2.3025850929940455,52.806652806652814,13.756566499608448
2019-11-12,-0.000915,0.032068345,0.000114521,-1.6e-13,0.001565,4.912467071,0.0,1,12,11,0,0,2019,46,0.0052875509527534935,0.005313727218739179,8.181715000000002,-0.0,1.2100868857763614,0.426089265889659,2.3025850929940455,45.903307306254504,13.756283207848718
2019-11-13,0.009582,0.18573629,3.78e-05,1.4e-12,0.000712,5.82489048,0.003325917,2,13,11,0,0,2019,46,0.005948235421560648,0.005629895572906648,8.191297000000002,-0.0,1.054881256755454,0.3399308225810681,2.3025850929940455,52.28509405823722,13.758232881684847
2019-11-14,-0.006919,-0.135371701,0.000152338,-1.18e-12,0.000837,5.03636515,-5.86e-05,3,14,11,0,0,2019,46,0.003968660741320548,0.00470034775269134,8.184378000000002,0.0,1.3218463199424202,2.6915782925146843,2.3025850929940455,44.64203143192999,13.760466650123048
2019-11-15,0.011879,0.120920479,3.77e-05,1.78e-12,0.007695,5.645364839,0.00802426,4,15,11,0,0,2019,46,0.005185636011886618,0.005232099771010501,8.196257000000003,0.0,-0.33717355778048436,-0.9849187726588953,2.3025850929940455,50.47500484698824,13.76273971328729
2019-11-18,0.005042,-0.135296405,0.000224598,8.7e-13,0.000503,4.881567271,0.001118736,0,18,11,0,0,2019,47,0.005163538163904061,0.005218018306491204,8.201299000000002,0.0,-0.26123606850783054,-0.9348552950334396,2.3025850929940455,58.300430196240214,13.763664734808275
2019-11-19,-0.003033,-0.121198905,0.00018784,-5.98e-13,-0.000593,4.289926664,-0.003645326,1,19,11,0,0,2019,47,0.0039025322925342054,0.004606831765269634,8.198266000000002,-0.0,-0.24482880354662861,-1.130308417685496,2.3025850929940455,49.05983458257949,13.76464341596615
2019-11-20,-0.011641,0.395814846,0.000227972,-1.66e-12,-0.003756,5.987943325,-0.00404273,2,20,11,0,0,2019,47,0.0015112196321443274,0.0034032886715459573,8.186625000000003,0.0,-0.5260328398706599,-0.861476898918592,2.3025850929940455,37.82273260568139,13.761236241771782
2019-11-21,-0.004483,0.142345196,0.000190794,-5.63e-13,-0.001583,6.840298294,-0.001969757,3,21,11,0,0,2019,47,0.0005890319964298155,0.002819119140320331,8.182142000000002,-0.0,-0.1402864529145514,-1.0454772832436479,2.3025850929940455,38.429961555252014,13.76225514868475
2019-11-22,-0.000878,-0.46285594,0.0002292,-2.05e-13,0.002175,3.674225598,0.003937511,4,22,11,0,0,2019,47,0.0003633347662098438,0.0025452584632595656,8.181264000000002,0.0,0.0324246321059439,-1.053352896877785,2.3025850929940455,46.99344979929411,13.76058655302105
2019-11-25,0.017534,0.287963143,3.75e-05,3.13e-12,0.007507,4.73226715,0.006846541,0,25,11,0,0,2019,48,0.0030049755714083295,0.003655535614129227,8.198798000000002,0.0,0.4252453830210155,-0.6824591200444386,2.3025850929940455,57.0670759419167,13.765888530409965
2019-11-26,-0.007809,0.252145639,0.000643195,-1.12e-12,0.002196,5.925487676,0.00196708,1,26,11,0,0,2019,48,0.001341287021960894,0.0028063107538233586,8.190989000000002,-0.0,0.5081208914727737,-0.964621093031903,2.3025850929940455,47.388379127324846,13.759498403480789
2019-11-27,0.013432,-0.377723815,0.000224014,3.06e-12,0.004174,3.687289865,0.0015049,2,27,11,0,0,2019,48,0.003201396710889987,0.003593398846132739,8.204421000000002,-0.0,0.4772858348790721,-1.2620391134972329,2.3025850929940455,50.573391079524136,13.751475171926375
2019-11-29,-0.002203,-0.288669173,3.75e-05,-7.07e-13,-0.004011,2.622882948,-0.003997651,4,29,11,0,0,2019,48,0.0023699510630607584,0.0031640359686414253,8.202218000000002,0.0,0.42196767634278287,-1.0963907808446207,2.3025850929940455,48.5863580692055,13.75598851444623
2019-12-02,-0.011562,1.03031054,3.79e-05,-1.85e-12,-0.008631,5.325266893,-0.009567116,0,2,12,0,0,2019,49,0.00022657397643602637,0.002073218489482801,8.190656000000002,-0.0,0.8234688295103237,-0.20205635968462538,2.3025850929940455,44.555429478544255,13.74634583810237
2019-12-03,-0.01783,0.23925232,0.000115629,-2.34e-12,-0.006638,6.599349352,-0.010086316,1,3,12,0,0,2019,49,-0.0025513604814772087,0.0005989060087803715,8.172826000000002,0.0,0.8293810652524698,0.20904063986938937,2.3025850929940455,45.20378593261768,13.74484620456061
2019-12-04,0.008826,-0.427123489,3.82e-05,2.01e-12,0.006324,3.78061223,0.005343772,2,4,12,0,0,2019,49,-0.000800997330480715,0.0012083203785003438,8.181652000000003,0.0,0.463859951795258,-0.8595100491142799,2.3025850929940455,49.803632283268236,13.733460800837825
2019-12-05,0.014671,0.12295772,7.54e-05,2.93e-12,0.0015,4.245467691,0.00101302,3,5,12,0,0,2019,49,0.001579309951131703,0.002205555906018837,8.196323000000003,0.0,0.003770931436284539,-1.3001358972529593,2.3025850929940455,55.93653761548615,13.734179488711225
2019-12-06,0.019316,0.40579163,3.7e-05,2.69e-12,0.009136,5.968242947,0.012185637,4,6,12,0,0,2019,49,0.004308031497111441,0.0034729962092767005,8.215639000000003,0.0,-0.29750028545449053,-1.4297631001022464,2.3025850929940455,52.217524316136625,13.736064390832576
2019-12-09,-0.014,0.21260023,3.75e-05,-1.63e-12,-0.003163,7.237092768,-0.003764437,0,9,12,0,0,2019,50,0.0014914112667866034,0.002178700193774723,8.201639000000004,-0.0,-0.13574767553506378,-1.9155529930780533,2.3025850929940455,45.09646385051966,13.728981401569897
