date,TICKER,CUSIP,COMNAM,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID,day_of_week,day_of_month,month,is_month_start,is_month_end,year,week,RET_ema_12,RET_ema_26,RET_skew_10,RET_kurtosis_10,RET_entropy_10,RSI,OBV,RET_lag_1,RET_lag_7,RET_lag_14,RET_lag_30,RET_mean_7d,RET_std_7d,RET_mean_14d,RET_std_14d,RET_mean_30d,RET_std_30d
1999-11-15,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.031371,0.11096748893941605,0.004730713245997,-4.850248462755448e-10,-0.001196,4.118337306708077,0.5232524353504305,91442.0,15705163.5,0.40625,172.125,171.3125,0,15,11,0,0,1999,46,0.030183824370985053,0.0905203675464395,0.5459497913450411,0.5600216797445096,2.3025850929940455,,-0.009665329827427472,-0.026758,-0.092338,,,0.0510775,0.1286011759160856,,,,
1999-11-16,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.071325,0.14281811909233819,0.0,6.589028982674249e-10,0.018417,6.433640996478642,0.5607193650502362,91442.0,16825328.0,0.0,182.125,182.125,1,16,11,0,0,1999,46,0.03651323600621812,0.08909848846892546,0.15433676950318118,0.2561648231237247,2.3025850929940455,,0.005001519730879292,-0.031371,0.005772,,,0.0420164,0.11319988737317717,,,,
1999-11-17,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.029212,0.05631024175812276,0.0006600660066006,3.6255831420561144e-10,-0.006591,4.652807243936047,0.577158936245049,91442.0,17316828.75,0.0625,189.5,189.375,2,17,11,0,0,1999,46,0.03538996892833841,0.08466245228604209,-0.1024858989124963,-0.059232279073341436,2.3025850929940455,,0.0026301265197194684,0.071325,0.076399,,,0.04774683333333333,0.10221740946710921,,,,
1999-11-18,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.010561,0.05936138087628446,0.0013342228152101,-1.7597790899869228e-10,0.010087,3.502591806828372,0.5710418864981419,91442.0,17133944.75,0.125,187.5,187.25,3,18,11,0,0,1999,46,0.02832058909320942,0.07760886322781675,0.6920175494093472,-0.4872947190962554,2.3025850929940455,36.51140210795273,0.000269146318127007,0.029212,0.011663,,,0.042592000000000005,0.09430273137790512,,,,
1999-11-19,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.012675,0.11953785165276798,0.0003378378378378,-1.6006670898489483e-10,-0.002063,4.680901555084097,0.5637778899236898,91442.0,16916770.0,0.03125,185.25,185.1875,4,19,11,0,0,1999,46,0.022013575386561818,0.07092116965538588,0.813598729249955,-0.4713435732084835,2.3025850929940455,36.41306009703592,1.6443299733055316e-05,-0.010561,0.001318,0.200603,,0.014122714285714285,0.06379733043452074,0.200603,,,
1999-11-22,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.000676,0.04299378429588169,0.0003380662609871,-1.4380367003984128e-11,-0.000745,2.7806915859233174,0.5633955743145082,91442.0,16905339.75,0.03125,184.9375,184.875,0,22,11,0,0,1999,47,0.018522871480936922,0.06561767560683877,1.151224048054728,1.6493319718001251,2.3025850929940455,42.418518787578364,0.0005323257174993397,-0.012675,-0.041118,0.105773,,-0.006861714285714288,0.05162353172961041,0.153188,0.06705493605992029,,
1999-11-23,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.135903,0.6353965781754589,0.0011904761904761,4.0147594543060885e-10,-0.011471,17.62805931628792,0.6402410117600281,91442.0,19202820.0,0.125,210.25,210.0,1,23,11,0,0,1999,47,0.036581352791562015,0.07082399593225812,1.5760149258905913,2.2390862700942225,2.3025850929940455,60.06975415945823,0.08731415496812535,-0.000676,-0.026758,-0.009728,,-0.00929457142857143,0.052179416765161135,0.09888266666666667,0.10533465673904924,,
1999-11-24,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.042857,0.015074099968622703,0.001865671641791,-4.0917315868760864e-10,0.008856,5.69866144660003,0.6127142878989463,91442.0,18379842.0,0.1875,202.375,202.0,2,24,11,0,0,1999,47,0.02436006774670632,0.06240318141875752,1.5397895510997504,1.961292463889121,2.3025850929940455,53.01985569922163,0.08461950885773435,0.135903,-0.031371,-0.092338,,-0.0005850000000000022,0.03957337158578562,0.0510775,0.1286011759160856,,
1999-11-26,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.027363,0.018101266779900427,0.0072639225181598,7.21114933342065e-10,-0.000325,2.0095251634916123,0.6295361747029408,91442.0,18882773.0,0.75,206.5,205.0,4,26,11,0,0,1999,47,0.02482205732413612,0.05980761242477548,1.377159478119735,1.7249883236690178,2.3025850929940455,51.36415157997956,0.08589057981101896,-0.042857,0.071325,0.005772,,0.008779714285714283,0.04815437323066404,0.0420164,0.11319988737317717,,
1999-11-29,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.099274,0.4059997067569186,0.0027533039647577,5.784120320330052e-10,-0.006205,8.2684980643468,0.6922359346087382,91442.0,20757334.0,0.3125,228.0,227.375,0,29,11,0,0,1999,48,0.036276202351192104,0.06273104854145878,0.7709921310235672,-0.4155424460916092,2.3025850929940455,51.442935451110515,0.11508642472361573,0.027363,0.029212,0.076399,,0.002038714285714284,0.039665444447756965,0.04774683333333333,0.10221740946710921,,
1999-11-30,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.044053,0.17657312893963037,0.0005274261603375,1.3010464018540334e-10,-0.013439,15.62387086896612,0.7228211833432735,91442.0,21671754.0,0.0625,236.625,236.5,1,30,11,0,1,1999,48,0.03747263275870101,0.06134748939023961,0.5763109981680234,-0.29232257867691047,2.3025850929940455,52.06795719794673,0.1053358799704404,0.099274,-0.010561,0.011663,,-0.0011361428571428586,0.039656131932016794,0.042592000000000005,0.09430273137790512,,
