date,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,DJI_Return
8/15/1997,-0.019324,0.539799538,0.004926108,-5.68E-09,-0.025909,5.621149252,-0.031138228
8/18/1997,-0.034483,0.114081199,0.005102041,-9.42E-09,0.012966,6.262416698,0.014121365
8/19/1997,0.061224,-0.337114748,0.009615385,2.38E-08,0.014817,4.151263674,0.014703953
8/20/1997,0,-0.156464233,0.004807692,0,0.014406,3.501739386,0.013020813
8/21/1997,-0.024038,-0.376406377,0.009852217,-1.82E-08,-0.015223,2.18366235,-0.015858
8/22/1997,0.004926,0.145393474,0.007352941,3.24E-09,-0.001632,2.501152605,-0.000772751
8/25/1997,0.044118,0.582019271,0.009389671,1.76E-08,-0.00366,3.956871621,-0.003587749
8/26/1997,0.056338,1.313991547,0.006666667,9.17E-09,-0.00776,9.156167484,-0.009847817
8/27/1997,-0.011111,-0.466901953,0.006741573,-3.43E-09,0.000745,4.881135001,0.000655291
8/28/1997,0.024719,-0.174430486,0.00877193,9.02E-09,-0.010977,4.02971625,-0.011929668
8/29/1997,-0.015351,-0.368682719,0.004454343,-9.01E-09,-0.004648,2.544029507,-0.009357455
9/2/1997,0.006682,0.012866981,0.004424779,3.85E-09,0.031252,2.576763485,0.033768879
9/3/1997,-0.00885,1.671432522,0.004464286,-1.92E-09,0.000291,6.883649776,0.001878257
9/4/1997,0.09375,0.704183588,0.004081633,1.09E-08,0.003255,11.73100298,-0.003470714
9/5/1997,-0.020408,-0.427953839,0.0125,-4.25E-09,-0.001955,6.710675217,-0.005694566
9/8/1997,0.2,1.95678596,0.006944444,1.17E-08,0.002314,19.84203026,0.001636364
9/9/1997,0.079861,0.593619498,0.006430868,2.72E-09,0.002599,31.6206463,0.00213137
9/10/1997,0.019293,-0.56548393,0.003154574,1.49E-09,-0.015627,13.73967895,-0.016887645
9/11/1997,-0.044164,0.092109879,0.00660066,-3.26E-09,-0.007007,15.00523911,-0.007552473
9/12/1997,0.168317,-0.215320801,0.005649718,1.35E-08,0.012404,11.77429901,0.010703564
9/15/1997,-0.161017,0.668147499,0.003367003,-9.26E-09,-0.004481,19.64126745,-0.002828348
9/16/1997,0.084175,0.151282166,0.00931677,3.88E-09,0.028127,22.61264093,0.022639236
9/17/1997,0.015528,-0.594628509,0.006116208,1.74E-09,-0.002792,9.166519971,-0.001203156
9/18/1997,-0.033639,-0.181912539,0.003164557,-4.76E-09,0.004549,7.499015047,0.004602898
9/19/1997,0.199367,3.193780426,0.002638522,5.61E-09,0.003399,31.44922252,-0.000681635
9/22/1997,0.139842,0.893518599,0.002314815,1.82E-09,0.005176,59.54968775,0.010041302
9/23/1997,0.027778,-0.545011388,0.004504505,7.74E-10,-0.003663,27.09442977,-0.003338799
