date,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,DJI_Return
3/31/1992,0.002151,-0.372966506,0.004291845,1.94e-11,0.001712,15.81583503,9.27e-05
4/1/1992,0.012876,-0.227122527,0.004237288,1.49e-10,0.001338,12.22370261,0.004265198
4/2/1992,-0.004237,-0.18472491,0.004255319,-6.02e-11,-0.009227,9.965680237,-0.004677916
4/3/1992,0.004255,-0.11937043,0.008474576,6.84e-11,0.002622,8.776072701,0.004638075
4/6/1992,0.029661,-0.135185213,0.004115226,5.35e-10,0.010061,7.589677441,0.008125297
4/7/1992,-0.057613,1.213362631,0.004366812,-4.99e-10,-0.018566,16.79870843,-0.018897848
4/8/1992,-0.024017,0.630581591,0.008948546,-1.31e-10,-0.008943,27.39166472,-0.010019976
4/9/1992,0.024609,-0.477992047,0.004366812,2.5e-10,0.015564,14.29866682,0.013704689
4/10/1992,-0.030568,0.425542069,0.004504505,-2.25e-10,0.00911,20.38335109,0.009426326
4/13/1992,0.018018,-0.55160298,0.004424779,2.9e-10,0.004428,9.139833894,0.004454138
4/14/1992,0.039823,0.18512236,0.004255319,5.21e-10,0.015539,10.83182151,0.011070735
4/15/1992,0.029787,0.501135914,0.004132231,2.52e-10,0.009433,16.26003628,0.014427861
4/16/1992,-0.024793,0.183946637,0.004237288,-1.82e-10,-0.000553,19.25101528,0.003786735
4/20/1992,-0.038136,-0.182259036,0.004405286,-3.55e-10,-0.014157,15.7423438,-0.008970727
4/21/1992,-0.008811,-0.162574412,0.004444444,-9.89e-11,0.000244,13.18304151,0.002098133
4/22/1992,0.024444,-0.020262896,0.004338395,2.73e-10,-0.001097,12.91591492,-0.001345976
4/23/1992,-0.010846,0.052924303,0.004385965,-1.16e-10,0.004368,13.59948071,0.002935201
4/24/1992,-0.008772,-0.462181979,0.004424779,-1.77e-10,-0.006268,7.314045804,-0.007197067
4/27/1992,-0.013274,0.426307196,0.004484305,-1.9e-10,-0.001394,10.43207616,-0.005997877
4/28/1992,-0.026906,0.241944542,0.004608295,-3.19e-10,0.001616,12.95606005,0.001010677
4/29/1992,0.050691,0.14175657,0.004385965,5e-10,0.007113,14.79266669,0.007648372
4/30/1992,0.054825,0.308248563,0.008316008,3.92e-10,0.007111,19.35248494,0.007770355
5/1/1992,-0.014553,-0.473803168,0.004219409,-2.01e-10,-0.005832,10.18321627,-0.006847072
